"","Protein","Len","S0","S0.1","S1","S1.1","LogFoldChange","Zstatistic","fdr","FDRup","FDRdown","Annotation","KOid","UniprotID"
"1","Pocillopora_acuta_HIv1_PredGene_10142_t",137,0,0,0,0,3.451,0.6771,0.82207,0.582367,0.869822,"cysteine and glycine-rich protein 1a ","K09377","Q6NZV4"
"2","Pocillopora_acuta_HIv1_PredGene_10367_t",210,2,1,1,1,-4.182,-0.6381,1,0.850194,0.821238,"nascent polypeptide-associated complex subunit alpha isoform 2 ","K03626","Q8JIU7"
"3","Pocillopora_acuta_HIv1_PredGene_10384_t",182,36,24,38,36,2.357,0.8086,0.784041,0.53739,0.868396,"ADP-ribosylation factor 1-like 2 ","K07937","Q10943"
"4","Pocillopora_acuta_HIv1_PredGene_10385_t",182,37,25,39,37,2.649,0.9813,0.704726,0.477041,0.865493,"ADP ribosylation factor at 79F, isoform F ","K07937","P61209"
"5","Pocillopora_acuta_HIv1_PredGene_10404_t",352,1,0,0,0,5.089,0.5501,0.835974,0.621978,0.87085,"tartronate semialdehyde reductase ","","Q7AAL2"
"6","Pocillopora_acuta_HIv1_PredGene_10534_t",152,1,0,0,1,-4.878,-1.0017,1,0.88044,0.762761,"60S ribosomal protein L35 ","K02918","Q6ZWV7"
"7","Pocillopora_acuta_HIv1_PredGene_10692_t",677,5,3,12,2,0.1,0.0103,0.933813,0.741932,0.871873,"acetyl-coenzyme A synthetase 2-like, mitochondrial ","K01895","F1QYS7"
"8","Pocillopora_acuta_HIv1_PredGene_10742_t",124,11,10,18,13,-13.081,-5.1659,0.000898,0.842468,8.5e-05,"cofilin-like protein ","K05765","E9BKJ8"
"9","Pocillopora_acuta_HIv1_PredGene_10809_t",241,7,3,23,0,-5.994,-1.9858,0.827209,0.90096,0.445031,"splicing factor 1 isoform X10 ","K00405","D3YZD0"
"10","Pocillopora_acuta_HIv1_PredGene_10879_t",281,0,0,0,0,-8.417,-1.8941,0.878444,0.901756,0.482795,"uncharacterized protein LOC100778421 ","K13511","I1J4C8"
"11","Pocillopora_acuta_HIv1_PredGene_11066_t",517,1,0,4,0,-6.723,-1.0686,1,0.884461,0.748581,"uncharacterized protein LOC767682 ","K01255","Q08CQ0"
"12","Pocillopora_acuta_HIv1_PredGene_11087_t",577,4,4,8,4,0.016,0.0024,0.937119,0.743556,0.871663,"alpha-adducin isoform X8 ","K18622","A1A5X4"
"13","Pocillopora_acuta_HIv1_PredGene_11098_t",568,1,1,1,2,-3.509,-0.8094,1,0.866426,0.797228,"shootin-1 isoform 1 ","","Q8C4F6"
"14","Pocillopora_acuta_HIv1_PredGene_11107_t",360,1,0,2,1,1.026,0.1801,0.870745,0.707915,0.873719,"4-hydroxy-2-oxoglutarate aldolase, mitochondrial precursor ","K18123","Q6NY77"
"15","Pocillopora_acuta_HIv1_PredGene_1120_t",246,2,1,22,2,9.251,2.491,0.165124,0.056785,0.841093,"splicing factor 1 isoform X10 ","K02823","D3YZD0"
"16","Pocillopora_acuta_HIv1_PredGene_1126_t",379,1,0,3,2,6.806,0.8465,0.768777,0.5241,0.867867,"dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial ","K00658","Q8CIE8"
"17","Pocillopora_acuta_HIv1_PredGene_11648_t",803,1,1,2,2,1.46,0.1787,0.871147,0.708192,0.873721,"striatin-3 isoform 1 ","K17608","Q3TNV4"
"18","Pocillopora_acuta_HIv1_PredGene_11681_t",589,3,1,3,1,1.494,0.1874,0.8687,0.706471,0.873709,"RNA-binding motif, single-stranded-interacting protein 3 ","K24990","Q08C34"
"19","Pocillopora_acuta_HIv1_PredGene_11803_t",639,0,0,1,1,-0.99,-0.1402,0.989159,0.773178,0.865633,"hypothetical protein DDB_G0283095 ","","Q54RK9"
"20","Pocillopora_acuta_HIv1_PredGene_12017_t",122,2,3,4,3,-3.54,-0.6281,1,0.849118,0.822473,"elongin-B ","K03873","F1QF30"
"21","Pocillopora_acuta_HIv1_PredGene_12069_t",543,3,4,7,4,-11.063,-1.3857,0.964913,0.897917,0.665009,"WP_010889536.1 malate synthase A ","K01638","Q9RYN3"
"22","Pocillopora_acuta_HIv1_PredGene_12073_t",597,9,3,5,7,-3.948,-0.4233,1,0.823327,0.844309,"apoptosis-inducing factor 3 isoform X2 ","K22747","F2Z4R3"
"23","Pocillopora_acuta_HIv1_PredGene_12117_t",212,3,1,3,3,11.347,1.3607,0.529405,0.354916,0.85628,"60S ribosomal protein L13 ","K02873","Q90Z10"
"24","Pocillopora_acuta_HIv1_PredGene_12155_t",556,27,37,58,40,-7.139,-4.6748,0.005381,0.844724,0.000747,"glucose-6-phosphate isomerase ","K01810","Q8C675"
"25","Pocillopora_acuta_HIv1_PredGene_12270_t",559,9,9,37,18,-10.66,-3.4878,0.151544,0.858587,0.038023,"asparagine synthetase ","K01953","Q8BPC8"
"26","Pocillopora_acuta_HIv1_PredGene_12357_t",437,0,0,0,0,-12.485,-1.5515,0.932484,0.900602,0.612862,"deoxyribonuclease gamma isoform 1 precursor ","K11995","B7Z707"
"27","Pocillopora_acuta_HIv1_PredGene_12368_t",112,4,2,7,7,3.236,0.4105,0.838617,0.658968,0.872033,"anoctamin-4 isoform X1 ","K19499","Q8CA37"
"28","Pocillopora_acuta_HIv1_PredGene_12927_t",2780,611,756,650,568,-2.631,-8.7608,0,0.836677,0,"COP1-interactive protein 1 ","K20478","Q38843"
"29","Pocillopora_acuta_HIv1_PredGene_130_t",685,0,0,0,0,-8.26,-0.7209,1,0.85854,0.810335,"coiled-coil domain-containing protein 62 isoform X6 ","","E9PVD1"
"30","Pocillopora_acuta_HIv1_PredGene_13050_t",160,3,3,0,0,0.137,0.0154,0.931675,0.740885,0.872002,"no_annotation","K21995","-"
"31","Pocillopora_acuta_HIv1_PredGene_13206_t",711,0,0,0,0,-14.171,-1.698,0.919254,0.901583,0.561,"transforming acidic coiled-coil-containing protein 1 isoform X6 ","K14283","Q6Y685"
"32","Pocillopora_acuta_HIv1_PredGene_13208_t",521,0,0,0,0,5.629,0.5856,0.833953,0.611428,0.870573,"uncharacterized protein LOC641500 ","","B8JL34"
"33","Pocillopora_acuta_HIv1_PredGene_13279_t",220,0,0,0,0,-12.547,-1.2455,0.993603,0.893308,0.704908,"transmembrane emp24 domain-containing protein 4 precursor ","K20346","Q6IQH9"
"34","Pocillopora_acuta_HIv1_PredGene_13313_t",613,5,3,13,6,0.018,0.0027,0.936994,0.743495,0.871671,"carnitine O-acetyltransferase ","K00624","Q642H6"
"35","Pocillopora_acuta_HIv1_PredGene_1356_t",196,0,0,0,1,-9.977,-1.0376,1,0.882647,0.755303,"ADP-ribosylation factor-like protein 6 isoform X1 ","K07951","Q5M9P8"
"36","Pocillopora_acuta_HIv1_PredGene_13979_t",524,0,3,2,2,-0.718,-0.0765,0.968593,0.759939,0.868853,"dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial isoform 11 ","K00627","P10515"
"37","Pocillopora_acuta_HIv1_PredGene_14125_t",1821,0,0,0,0,-3.578,-0.602,1,0.846234,0.825615,"E3 SUMO-protein ligase RanBP2 isoform X1 ","K12172","B8JMJ5"
"38","Pocillopora_acuta_HIv1_PredGene_14247_t",313,0,0,0,0,-7.037,-0.9109,1,0.87431,0.780134,"glycerol-3-phosphate phosphatase ","K19269","F1QGU0"
"39","Pocillopora_acuta_HIv1_PredGene_14258_t",318,1,0,1,0,0.246,0.0387,0.921947,0.736126,0.872524,"lysosome-associated membrane glycoprotein 1a precursor ","K06528","Q6P299"
