"","Protein","Len","S0","S0.1","S1","S1.1","LogFoldChange","Zstatistic","fdr","FDRup","FDRdown","Annotation","KOid","UniprotID"
"1","Pocillopora_acuta_HIv1_PredGene_10142_t",137,0,0,0,3,-6.186,-0.8429,0.711737,0.900499,0.290485,"cysteine and glycine-rich protein 1a ","K09377","Q6NZV4"
"2","Pocillopora_acuta_HIv1_PredGene_10367_t",210,2,1,1,1,-5.852,-0.5215,0.926204,0.911847,0.408908,"nascent polypeptide-associated complex subunit alpha isoform 2 ","K03626","Q8JIU7"
"3","Pocillopora_acuta_HIv1_PredGene_10384_t",182,36,24,34,30,-7.298,-3.508,0.000654,0.702866,0.000103,"ADP-ribosylation factor 1-like 2 ","K07937","Q10943"
"4","Pocillopora_acuta_HIv1_PredGene_10385_t",182,37,25,35,33,-1.678,-0.5005,0.933969,0.911625,0.416635,"ADP ribosylation factor at 79F, isoform F ","K07937","P61209"
"5","Pocillopora_acuta_HIv1_PredGene_10404_t",352,1,0,0,0,-2.885,-0.337,0.975595,0.906646,0.474478,"tartronate semialdehyde reductase ","","Q7AAL2"
"6","Pocillopora_acuta_HIv1_PredGene_10534_t",152,1,0,0,2,2.334,0.3377,1,0.825956,0.640281,"60S ribosomal protein L35 ","K02918","Q6ZWV7"
"7","Pocillopora_acuta_HIv1_PredGene_10692_t",677,5,3,2,1,-7.066,-1.0618,0.526643,0.875781,0.219019,"acetyl-coenzyme A synthetase 2-like, mitochondrial ","K01895","F1QYS7"
"8","Pocillopora_acuta_HIv1_PredGene_10742_t",124,11,10,9,15,-0.201,-0.0299,1,0.882754,0.565924,"cofilin-like protein ","K05765","E9BKJ8"
"9","Pocillopora_acuta_HIv1_PredGene_10809_t",241,7,3,0,0,-0.231,-0.0417,1,0.884018,0.562907,"splicing factor 1 isoform X10 ","K00405","D3YZD0"
"10","Pocillopora_acuta_HIv1_PredGene_10879_t",281,0,0,0,0,-9.052,-0.6881,0.837012,0.909704,0.346756,"uncharacterized protein LOC100778421 ","K13511","I1J4C8"
"11","Pocillopora_acuta_HIv1_PredGene_109_t",518,0,0,0,1,-20.651,-1.7015,0.216221,0.79184,0.071953,"paxillin, isoform H ","K05760","D3DMM0"
"12","Pocillopora_acuta_HIv1_PredGene_10950_t",497,0,0,2,0,-6.771,-0.9351,0.629777,0.891528,0.259014,"alanine aminotransferase 2-like isoform X1 ","K00814","Q6NYL5"
"13","Pocillopora_acuta_HIv1_PredGene_11066_t",517,1,0,0,0,0.496,0.0606,0.9999,0.872092,0.587692,"uncharacterized protein LOC767682 ","K01255","Q08CQ0"
"14","Pocillopora_acuta_HIv1_PredGene_11087_t",577,4,4,5,5,10.757,2.378,0.157132,0.060394,0.694755,"alpha-adducin isoform X8 ","K18622","A1A5X4"
"15","Pocillopora_acuta_HIv1_PredGene_11098_t",568,1,1,3,3,-12.955,-1.9508,0.136012,0.768454,0.039547,"shootin-1 isoform 1 ","","Q8C4F6"
"16","Pocillopora_acuta_HIv1_PredGene_11107_t",360,1,0,1,0,-6.923,-0.9011,0.659809,0.89512,0.2704,"4-hydroxy-2-oxoglutarate aldolase, mitochondrial precursor ","K18123","Q6NY77"
"17","Pocillopora_acuta_HIv1_PredGene_1120_t",246,2,1,0,1,-3.177,-0.7052,0.824882,0.909051,0.340399,"splicing factor 1 isoform X10 ","K02823","D3YZD0"
"18","Pocillopora_acuta_HIv1_PredGene_1126_t",379,1,0,3,3,10.897,2.8872,0.027741,0.016392,0.690729,"dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial ","K00658","Q8CIE8"
"19","Pocillopora_acuta_HIv1_PredGene_11648_t",803,1,1,0,2,-6.114,-1.1366,0.474889,0.865321,0.1972,"striatin-3 isoform 1 ","K17608","Q3TNV4"
"20","Pocillopora_acuta_HIv1_PredGene_11681_t",589,3,1,2,2,-1.852,-0.2981,0.981825,0.904657,0.487446,"RNA-binding motif, single-stranded-interacting protein 3 ","K24990","Q08C34"
"21","Pocillopora_acuta_HIv1_PredGene_11803_t",639,0,0,0,0,2.118,0.2358,1,0.845684,0.623254,"hypothetical protein DDB_G0283095 ","","Q54RK9"
"22","Pocillopora_acuta_HIv1_PredGene_12017_t",122,2,3,2,4,-4.449,-0.282,0.9841,0.903745,0.492707,"elongin-B ","K03873","F1QF30"
"23","Pocillopora_acuta_HIv1_PredGene_12069_t",543,3,4,2,1,-12.178,-0.9578,0.610115,0.888961,0.251564,"WP_010889536.1 malate synthase A ","K01638","Q9RYN3"
"24","Pocillopora_acuta_HIv1_PredGene_12073_t",597,9,3,6,1,-2.879,-0.5135,0.92924,0.911774,0.411857,"apoptosis-inducing factor 3 isoform X2 ","K22747","F2Z4R3"
"25","Pocillopora_acuta_HIv1_PredGene_12117_t",212,3,1,2,3,0.47,0.0885,0.999809,0.868435,0.593921,"60S ribosomal protein L13 ","K02873","Q90Z10"
"26","Pocillopora_acuta_HIv1_PredGene_12155_t",556,27,37,24,14,-4.729,-1.5447,0.276014,0.80955,0.099598,"glucose-6-phosphate isomerase ","K01810","Q8C675"
"27","Pocillopora_acuta_HIv1_PredGene_12270_t",559,9,9,12,10,7.098,1.32,0.660116,0.456138,0.703176,"asparagine synthetase ","K01953","Q8BPC8"
"28","Pocillopora_acuta_HIv1_PredGene_12357_t",437,0,0,0,2,-6.538,-1.2007,0.43594,0.85608,0.179509,"deoxyribonuclease gamma isoform 1 precursor ","K11995","B7Z707"
"29","Pocillopora_acuta_HIv1_PredGene_12368_t",112,4,2,4,10,-0.419,-0.0992,0.998922,0.889782,0.547611,"anoctamin-4 isoform X1 ","K19499","Q8CA37"
"30","Pocillopora_acuta_HIv1_PredGene_12927_t",2780,611,756,660,581,-0.341,-0.7237,0.811189,0.908245,0.333548,"COP1-interactive protein 1 ","K20478","Q38843"
"31","Pocillopora_acuta_HIv1_PredGene_130_t",685,0,0,0,0,-13.373,-2.962,0.00605,0.71414,0.001322,"coiled-coil domain-containing protein 62 isoform X6 ","","E9PVD1"
"32","Pocillopora_acuta_HIv1_PredGene_13050_t",160,3,3,0,0,10.186,1.1706,0.75084,0.516901,0.703153,"no_annotation","K21995","-"
"33","Pocillopora_acuta_HIv1_PredGene_13208_t",521,0,0,0,1,-6.745,-1.5209,0.28565,0.812447,0.104292,"uncharacterized protein LOC641500 ","","B8JL34"
"34","Pocillopora_acuta_HIv1_PredGene_13279_t",220,0,0,0,0,5.982,0.5062,1,0.784293,0.663274,"transmembrane emp24 domain-containing protein 4 precursor ","K20346","Q6IQH9"
"35","Pocillopora_acuta_HIv1_PredGene_13313_t",613,5,3,7,6,7.717,1.3293,0.655611,0.452433,0.703125,"carnitine O-acetyltransferase ","K00624","Q642H6"
"36","Pocillopora_acuta_HIv1_PredGene_1356_t",196,0,0,0,1,-7.927,-1.0424,0.541244,0.878387,0.224892,"ADP-ribosylation factor-like protein 6 isoform X1 ","K07951","Q5M9P8"
"37","Pocillopora_acuta_HIv1_PredGene_13979_t",524,0,3,2,2,5.676,0.8064,0.96217,0.676728,0.690716,"dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial isoform 11 ","K00627","P10515"
"38","Pocillopora_acuta_HIv1_PredGene_14125_t",1821,0,0,0,1,0.377,0.0341,1,0.875399,0.581567,"E3 SUMO-protein ligase RanBP2 isoform X1 ","K12172","B8JMJ5"
"39","Pocillopora_acuta_HIv1_PredGene_14247_t",313,0,0,0,0,-4.198,-0.4771,0.941854,0.91126,0.425184,"glycerol-3-phosphate phosphatase ","K19269","F1QGU0"
"40","Pocillopora_acuta_HIv1_PredGene_14258_t",318,1,0,0,0,1.493,0.1898,1,0.85346,0.614716,"lysosome-associated membrane glycoprotein 1a precursor ","K06528","Q6P299"
"41","Pocillopora_acuta_HIv1_PredGene_14283_t",460,0,0,0,0,-7.565,-1.2387,0.414862,0.850584,0.169441,"protein TFG isoform 1 ","K09292","Q9Z1A1"
"42","Pocillopora_acuta_HIv1_PredGene_1431_t",408,0,0,0,0,-9.399,-1.2232,0.423299,0.852823,0.173511,"acetyl-CoA acetyltransferase, mitochondrial isoform b precursor ","K00626","B2R6H1"
"43","Pocillopora_acuta_HIv1_PredGene_14319_t",155,17,18,14,18,3.338,1.1627,0.756415,0.520226,0.703093,"superoxide dismutase ","K04565","P08228"
"44","Pocillopora_acuta_HIv1_PredGene_14388_t",264,0,0,0,1,-17.216,-1.2893,0.388707,0.843328,0.15651,"WP_021368890.1 collagen-like exosporium glycoprotein BclA1 ","K19721",""
"45","Pocillopora_acuta_HIv1_PredGene_14565_t",687,3,5,4,8,5.143,1.3234,0.658445,0.454783,0.703158,"serine/threonine-protein kinase PAK 3 isoform c ","K05733","Q5JWX1"
"46","Pocillopora_acuta_HIv1_PredGene_14568_t",589,7,4,8,12,-2.369,-0.4283,0.955977,0.910116,0.442759,"serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform ","K03456","Q76MZ3"
