Protein	Len	S0	S0	S0	S0	S0	S0	S0	S0	S1	S1	S1	S1	S1	S1	S1	S1	LogFoldChange	Zstatistic	fdr	FDRup	FDRdown
m.1	362	2	2	2	2	2	2	2	0	2	2	1	2	2	2	2	1	-0.160	-0.1676	0.741032	0.127009	0.969187
m.1000	214	15	17	19	21	14	18	19	14	20	19	18	20	18	22	23	16	1.718	1.7542	0.000000	0.000000	0.613572
m.10009	206	7	4	6	4	5	8	4	4	3	3	2	1	4	4	4	2	0.331	0.3186	0.033192	0.002404	0.822701
m.10012	278	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-0.646	-0.6227	0.997477	0.472482	0.997065
m.10015	205	7	6	7	5	8	7	6	4	6	9	7	7	6	7	6	5	1.288	1.0745	0.000000	0.000000	0.669817
m.10041	171	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	-0.655	-0.5997	0.998484	0.459954	0.997141
m.1005	498	5	6	8	6	4	2	6	8	5	5	6	5	6	4	6	5	0.663	0.5427	0.002364	0.000149	0.764923
m.10054	107	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	-0.609	-0.6458	0.996415	0.484138	0.997078
m.1007	159	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.864	-0.7165	0.994331	0.514300	0.997814
m.10080	526	9	12	11	11	7	7	13	10	9	11	8	10	13	10	7	6	1.320	1.3610	0.000000	0.000000	0.638549
m.10101	187	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	1	-0.698	-0.6312	0.997087	0.476878	0.997058
m.10111	222	3	3	1	3	3	3	3	0	2	3	1	2	3	2	3	1	-0.026	-0.0240	0.447172	0.052878	0.931260
m.10119	416	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	-0.635	-0.5403	1.000000	0.423307	0.997569
m.1013	969	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	-0.751	-0.7218	0.994283	0.516245	0.997910
m.10132	182	0	1	2	0	0	0	1	0	0	0	1	0	0	0	0	1	-0.470	-0.4186	0.986334	0.330873	0.997169
m.10135	467	6	10	9	9	5	8	9	3	8	9	3	11	8	6	8	1	1.559	1.7443	0.000000	0.000000	0.614020
m.10138	474	2	2	0	2	2	2	3	1	1	2	1	1	4	1	2	2	-0.252	-0.2399	0.853701	0.179793	0.982479
m.10139	271	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	-0.607	-0.5214	0.999909	0.410377	0.997705
m.10164	157	1	0	0	0	1	1	0	0	1	1	0	1	1	1	1	0	-0.510	-0.4122	0.984475	0.325518	0.997009
m.10182	249	0	1	0	2	0	0	0	0	1	1	0	1	0	0	2	0	-0.453	-0.4418	0.991914	0.349965	0.997589
m.10194	572	10	16	14	16	10	10	19	15	20	16	14	18	18	18	13	16	2.320	2.3167	0.000000	0.000000	0.596847
m.10196	145	0	0	1	0	1	1	0	1	0	1	0	0	0	1	0	0	-0.672	-0.5856	0.999073	0.451814	0.997223
m.10199	219	5	4	5	5	6	6	7	6	4	5	7	7	3	3	7	7	0.814	0.6542	0.000489	0.000030	0.740807
