"","Protein","Len","S0","S0.1","S0.2","S1","S1.1","S1.2","LogFoldChange","Zstatistic","fdr","FDRup","FDRdown","UniprotID","DEFLINE"
"1","m.1",362,1,2,2,1,2,2,-0.363,-0.3862,0.999998,0.811122,0.72526,"P21369","Pyrazinamidase/nicotinamidase OS=Escherichia coli (strain K12) GN=pncA PE=3 SV=1                    "
"2","m.1000",214,21,11,19,22,17,23,0.171,0.5381,0.06679,0.019225,0.791955,"Q24799","Myophilin OS=Echinococcus granulosus PE=2 SV=1                       "
"3","m.10009",206,4,4,5,5,6,6,0.072,0.1231,0.752123,0.28084,0.828178,"Q5P203","Putative regulator of ribonuclease activity OS=Aromatoleum aromaticum (strain EbN1) GN=AZOSEA25360 PE=3 SV=1                "
"4","m.10015",205,7,8,6,5,5,3,-0.166,-0.2791,1,0.754598,0.772058,"B4JT39","Mesencephalic astrocyte-derived neurotrophic factor homolog OS=Drosophila grimshawi GN=Manf PE=3 SV=1                  "
"5","m.1005",498,6,7,5,4,3,5,-0.163,-0.2729,1,0.75048,0.77418,"Q13310","Polyadenylate-binding protein 4 OS=Homo sapiens GN=PABPC4 PE=1 SV=1                    "
"6","m.1007",159,1,0,1,1,0,0,-0.275,-0.269,1,0.747835,0.775486,"P20965","Polyadenylate-binding protein 1-A OS=Xenopus laevis GN=pabpc1-a PE=1 SV=3                    "
"7","m.10080",526,9,10,10,12,12,13,0.247,0.615,0.03588,0.009923,0.786031,"Q14247","Src substrate cortactin OS=Homo sapiens GN=CTTN PE=1 SV=2                    "
"8","m.10093",673,1,1,0,0,0,0,-0.342,-0.3788,0.999996,0.807999,0.729187,"B0FYY4","Integrin beta-1 OS=Ovis aries GN=ITGB1 PE=2 SV=1                     "
"9","m.10111",222,3,3,2,1,1,0,-0.603,-0.6385,0.969271,0.872301,0.510704,"3660641","Uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_85349 PE=4 SV=1                     "
"10","m.1013",969,1,1,1,0,1,0,-0.407,-0.4222,1,0.824946,0.704456,"A7RU46","Nck-associated protein 1 homolog OS=Nematostella vectensis GN=napA PE=3 SV=1                   "
"11","m.10132",182,1,3,4,0,0,0,-1.155,-1.2823,0.066606,0.813614,0.015209,"Q6NZW8","ADP-ribosylation factor-like protein 8B-A OS=Danio rerio GN=arl8ba PE=2 SV=1                   "
"12","m.10135",467,8,8,8,6,7,5,-0.236,-0.4676,1,0.839496,0.673869,"Q9YI37","Succinyl-CoA ligase [ADP-forming] subunit beta"
"13","m.10138",474,3,3,3,1,2,0,-0.966,-1.091,0.252425,0.84068,0.066799,"O77775","Neutrophil cytosol factor 2 OS=Bos taurus GN=NCF2 PE=2 SV=1                   "
"14","m.10139",271,1,2,0,0,0,0,-0.361,-0.3238,1,0.781351,0.754995,"Q8R1W8","Interphotoreceptor matrix proteoglycan 1 OS=Mus musculus GN=Impg1 PE=1 SV=1                   "
"15","m.10164",157,1,1,1,0,0,0,-0.241,-0.2273,1,0.716819,0.788146,NA,NA
"16","m.10168",220,0,1,0,0,0,0,-0.472,-0.4786,1,0.842596,0.665672,NA,NA
"17","m.10182",249,0,1,1,0,1,0,-0.382,-0.3469,1,0.793317,0.744852,NA,NA
"18","m.10194",572,15,19,18,11,13,11,-0.423,-1.1643,0.158951,0.829599,0.039545,NA,NA
"19","m.10196",145,1,1,0,0,0,0,-0.441,-0.4345,1,0.829185,0.696668,"P04041","Glutathione peroxidase 1 OS=Rattus norvegicus GN=Gpx1 PE=1 SV=4                    "
"20","m.10199",219,5,6,6,3,3,5,-0.618,-0.8771,0.656291,0.870379,0.226667,"Q05975","Ras-related protein Rab-2 OS=Lymnaea stagnalis GN=RAB2 PE=2 SV=1                    "
"21","m.10205",893,0,0,0,0,1,0,-0.333,-0.3136,1,0.77568,0.759176,"O88664","Serine/threonine-protein kinase TAO1 OS=Rattus norvegicus GN=Taok1 PE=1 SV=1                    "
"22","m.10239",279,1,1,1,0,0,0,-0.38,-0.3358,1,0.787715,0.749846,"P31483","Nucleolysin TIA-1 isoform p40 OS=Homo sapiens GN=TIA1 PE=1 SV=3                   "
