Protein,Len,WS1,WS2,WS3,WO1,WO2,WO3,LogFldChng-K28-K30vsK31-K33,Zstat-K28-K30vsK31-K33,fdr-K28-K30vsK31-K33,FDRup-K28-K30vsK31-K33,FDRdown-K28-K30vsK31-K33,DEFLINE
m.1,362,5,12,5,10,12,6,-0.15,-0.5421,0.53921,0.947778,0.955174,Pyrazinamidase/nicotinamidase OS=Escherichia coli (strain K12) GN=pncA PE=3 SV=1
m.1000,214,5,21,12,10,6,1,-1.225,-4.2804,0.000953,0.963258,0.00013,Myophilin OS=Echinococcus granulosus PE=2 SV=1
m.10001,144,0,0,0,0,0,0,-0.417,-0.5147,0.53423,0.965531,0.936715,Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_117755 PE=4 SV=1
m.10005,199,0,0,0,0,0,0,-0.514,-0.5745,0.550153,0.926987,0.981601,ER membrane protein complex subunit 8 OS=Rattus norvegicus GN=Emc8 PE=2 SV=1
m.10007,400,0,0,0,0,0,0,-0.427,-0.491,0.533018,0.985132,0.919573,E3 ubiquitin-protein ligase KCMF1 OS=Homo sapiens GN=KCMF1 PE=1 SV=2
m.10009,206,12,28,1,7,17,17,-0.379,-1.7329,1,0.990364,0.596482,Putative regulator of ribonuclease activity OS=Aromatoleum aromaticum (strain EbN1) GN=AZOSEA25360 PE=3 SV=1
m.10012,278,5,7,9,1,4,2,-1.569,-3.3944,0.04426,0.975693,0.007058,Roundabout homolog 1 OS=Mus musculus GN=Robo1 PE=1 SV=1
m.10015,205,12,3,16,13,10,13,-0.229,-0.9265,1,0.868533,1,Mesencephalic astrocyte-derived neurotrophic factor homolog OS=Drosophila grimshawi GN=Manf PE=3 SV=1
m.1002,498,2,0,3,2,0,2,-0.599,-0.9048,1,0.866427,1,Predicted protein OS=Nematostella vectensis GN=v1g240580 PE=4 SV=1
m.10023,149,0,0,0,0,0,0,-0.456,-0.5402,0.538742,0.94778,0.955172,m.10023
m.1005,498,4,4,20,13,2,10,-0.497,-1.7943,1,0.993833,0.542338,Polyadenylate-binding protein 4 OS=Homo sapiens GN=PABPC4 PE=1 SV=1
m.10055,770,0,0,1,0,0,0,-0.466,-0.5461,0.540265,0.944087,0.95944,CAD protein OS=Squalus acanthias GN=CAD PE=2 SV=1
m.10061,510,0,0,1,0,0,0,-0.346,-0.3996,0.555396,1,0.870325,Cytochrome P450 3A11 OS=Mus musculus GN=Cyp3a11 PE=1 SV=1
m.1007,159,0,0,3,0,0,0,-0.965,-1.3302,1,0.943009,0.990012,Polyadenylate-binding protein 1-A OS=Xenopus laevis GN=pabpc1-a PE=1 SV=3
m.10080,526,5,13,17,7,18,21,-0.118,-0.5043,0.533348,0.974015,0.928928,Src substrate cortactin OS=Homo sapiens GN=CTTN PE=1 SV=2
m.10093,673,1,2,6,1,5,3,-0.405,-0.838,0.888479,0.862466,1,Integrin beta-1 OS=Ovis aries GN=ITGB1 PE=2 SV=1
m.10101,187,0,0,1,0,0,0,-0.394,-0.4576,0.536159,1,0.898911,Universal stress protein A-like protein OS=Arabidopsis thaliana GN=At3g01520 PE=1 SV=2
m.10110,697,0,0,0,0,0,0,-0.364,-0.3873,0.561817,1,0.86433,Transforming growth factor-beta-induced protein ig-h3 OS=Sus scrofa GN=TGFBI PE=1 SV=1
m.10111,222,3,3,4,6,11,3,0.345,0.8594,1,0.649682,0.973813,Uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_85349 PE=4 SV=1
m.10117,540,0,1,1,0,0,2,-0.107,-0.1341,0.92599,1,0.825802,Signal peptide peptidase-like 2B OS=Gallus gallus GN=SPPL2B PE=2 SV=1
m.10119,416,0,0,0,0,0,0,-0.356,-0.3978,0.556286,1,0.869088,AP-3 complex subunit mu-1 OS=Pongo abelii GN=AP3M1 PE=2 SV=1
m.1013,969,3,1,8,1,0,0,-1.913,-2.8176,0.266968,0.987841,0.052513,Nck-associated protein 1 homolog OS=Nematostella vectensis GN=napA PE=3 SV=1
m.10132,182,1,1,4,4,3,3,0.152,0.2758,1,1,0.899156,ADP-ribosylation factor-like protein 8B-A OS=Danio rerio GN=arl8ba PE=2 SV=1
m.10133,155,0,0,0,0,0,0,-0.29,-0.3357,0.598341,1,0.846513,Selenoprotein O OS=Mus musculus GN=Selo PE=2 SV=4
m.10134,282,1,2,1,0,0,1,-0.691,-0.8636,0.950534,0.863291,1,Cln5-like protein 1 OS=Dictyostelium discoideum GN=cln5la PE=3 SV=1
m.10135,467,2,0,8,3,4,4,-0.42,-0.9466,1,0.871374,1,"Succinyl-CoA ligase [ADP-forming] subunit beta, mitochondrial (Fragment) OS=Columba livia GN=SUCLA2 PE=1 SV=1"
m.10138,474,2,0,3,3,0,1,-0.619,-0.9949,1,0.878646,1,Neutrophil cytosol factor 2 OS=Bos taurus GN=NCF2 PE=2 SV=1
m.10139,271,2,2,3,3,0,0,-0.737,-1.1646,1,0.91124,1,Interphotoreceptor matrix proteoglycan 1 OS=Mus musculus GN=Impg1 PE=1 SV=1
m.10145,179,0,0,0,0,0,0,-0.363,-0.4299,0.543119,1,0.883691,Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g223497 PE=4 SV=1
m.10146,361,0,0,0,0,0,0,-0.426,-0.4817,0.533322,0.992073,0.914167,Cytoplasmic protein NCK2 OS=Homo sapiens GN=NCK2 PE=1 SV=2
m.10164,157,0,0,1,0,0,0,-0.403,-0.4476,0.538212,1,0.894153,m.10164
