"","Protein","Len","S0","S0.1","S1","S1.1","S1.2","S1.3","S1.4","S1.5","S1.6","S1.7","LogFoldChange","Zstatistic","fdr","FDRup","FDRdown","UniprotID","DEFLINE"
"1","m.1",362,0,0,1,0,1,0,1,0,1,2,-5.74,-1.9507,1,0.964329,0.868972,"P21369","Pyrazinamidase/nicotinamidase OS=Escherichia coli (strain K12) GN=pncA PE=3 SV=1                    "
"2","m.1000",214,29,30,20,23,27,14,20,20,26,26,-3.058,-1.5821,1,0.946434,0.943137,"Q24799","Myophilin OS=Echinococcus granulosus PE=2 SV=1                       "
"3","m.10009",206,3,3,3,4,2,1,3,5,3,3,-4.112,-1.3631,1,0.919552,0.958703,"Q5P203","Putative regulator of ribonuclease activity OS=Aromatoleum aromaticum (strain EbN1) GN=AZOSEA25360 PE=3 SV=1                "
"4","m.10015",205,5,6,5,6,6,4,4,4,8,6,-2.857,-1.0476,0.999999,0.819702,0.968284,"B4JT39","Mesencephalic astrocyte-derived neurotrophic factor homolog OS=Drosophila grimshawi GN=Manf PE=3 SV=1                  "
"5","m.1002",498,0,1,0,0,0,0,0,1,2,1,-5.178,-1.8596,1,0.961667,0.896917,"3270652","Predicted protein OS=Nematostella vectensis GN=v1g240580 PE=4 SV=1                     "
"6","m.10038",212,3,4,0,0,1,0,0,0,1,3,-5.305,-1.5036,0.999957,0.938972,0.95003,"P86854","Perlucin-like protein OS=Mytilus galloprovincialis PE=1 SV=1                      "
"7","m.1005",498,12,13,8,10,15,5,9,9,16,11,-4.983,-1.2754,1,0.901733,0.96242,"Q13310","Polyadenylate-binding protein 4 OS=Homo sapiens GN=PABPC4 PE=1 SV=1                    "
"8","m.10055",770,0,1,0,0,1,0,0,0,1,1,-6.347,-2.2103,0.981128,0.968404,0.721053,"Q91437","CAD protein OS=Squalus acanthias GN=CAD PE=2 SV=1                     "
"9","m.10061",510,4,2,1,6,5,2,3,2,3,5,-3.779,-1.4495,1,0.932563,0.953846,"Q64459","Cytochrome P450 3A11 OS=Mus musculus GN=Cyp3a11 PE=1 SV=1                    "
"10","m.1007",159,2,1,0,0,1,1,0,0,1,1,-5.257,-1.9767,1,0.964952,0.859202,"P20965","Polyadenylate-binding protein 1-A OS=Xenopus laevis GN=pabpc1-a PE=1 SV=3                    "
"11","m.10080",526,17,14,15,15,17,16,15,15,15,15,-2.797,-1.7004,1,0.954615,0.92862,"Q14247","Src substrate cortactin OS=Homo sapiens GN=CTTN PE=1 SV=2                    "
"12","m.10093",673,1,1,0,1,1,1,2,1,1,1,-5.569,-1.4913,1,0.937616,0.950958,"B0FYY4","Integrin beta-1 OS=Ovis aries GN=ITGB1 PE=2 SV=1                     "
"13","m.10110",697,0,1,0,0,0,0,0,0,0,0,-5.136,-1.7729,1,0.958279,0.916337,"O11780","Transforming growth factor-beta-induced protein ig-h3 OS=Sus scrofa GN=TGFBI PE=1 SV=1                  "
"14","m.10111",222,0,2,1,1,2,0,1,2,0,2,-5.899,-1.6537,1,0.951756,0.935054,"3660641","Uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_85349 PE=4 SV=1                     "
"15","m.1013",969,1,3,0,0,0,0,1,0,0,1,-6.29,-2.0944,0.999997,0.967171,0.802062,"A7RU46","Nck-associated protein 1 homolog OS=Nematostella vectensis GN=napA PE=3 SV=1                   "
"16","m.10132",182,1,2,2,3,1,1,2,2,2,2,-4.666,-1.7338,1,0.95641,0.923343,"Q6NZW8","ADP-ribosylation factor-like protein 8B-A OS=Danio rerio GN=arl8ba PE=2 SV=1                   "
"17","m.10135",467,4,4,2,3,4,2,2,2,3,4,-5.18,-1.908,1,0.963181,0.883193,"Q9YI37","Succinyl-CoA ligase [ADP-forming] subunit beta mitochondrial (Fragment) OS=Columba livia GN=SUCLA2 PE=1 SV=1                           "
"18","m.10138",474,2,1,2,2,3,1,1,1,2,2,-6.092,-2.1609,0.995097,0.968054,0.758478,"O77775","Neutrophil cytosol factor 2 OS=Bos taurus GN=NCF2 PE=2 SV=1                   "
"19","m.10139",271,0,1,0,0,0,0,0,0,1,0,-4.907,-1.9596,1,0.964548,0.865728,"Q8R1W8","Interphotoreceptor matrix proteoglycan 1 OS=Mus musculus GN=Impg1 PE=1 SV=1                   "
"20","m.10146",361,2,1,1,1,2,1,1,0,1,3,-4.275,-1.2568,1,0.897203,0.963082,"O43639","Cytoplasmic protein NCK2 OS=Homo sapiens GN=NCK2 PE=1 SV=2                    "
"21","m.10164",157,0,0,0,0,1,0,0,0,0,0,-5.738,-1.8917,1,0.962698,0.88808,NA,NA
"22","m.10183",616,1,0,1,0,1,0,0,1,0,0,-5.043,-1.3171,1,0.910882,0.960785,"P60670","Nuclear protein localization protein 4 homolog OS=Mus musculus GN=Nploc4 PE=1 SV=3                 "
"23","m.10194",572,19,16,15,16,19,9,16,17,19,20,-4.558,-4.1556,9e-06,0.951122,1e-06,"P15178","Aspartate--tRNA ligase cytoplasmic OS=Rattus norvegicus GN=Dars PE=2 SV=1                           "
"24","m.10199",219,7,9,5,5,7,6,5,7,7,8,-3.638,-1.0018,0.999996,0.793983,0.969007,"Q05975","Ras-related protein Rab-2 OS=Lymnaea stagnalis GN=RAB2 PE=2 SV=1                    "
"25","m.1020",1917,0,0,0,0,1,0,0,0,1,1,-6.301,-1.9596,1,0.964548,0.865728,"Q6ZQ08","CCR4-NOT transcription complex subunit 1 OS=Mus musculus GN=Cnot1 PE=1 SV=2                  "
"26","m.10205",893,0,1,0,0,0,1,0,0,1,0,-5.408,-2.148,0.998276,0.967912,0.767592,"O88664","Serine/threonine-protein kinase TAO1 OS=Rattus norvegicus GN=Taok1 PE=1 SV=1                    "
"27","m.10239",279,1,2,0,1,2,0,0,0,2,1,-4.412,-1.4486,1,0.932446,0.953904,"P31483","Nucleolysin TIA-1 isoform p40 OS=Homo sapiens GN=TIA1 PE=1 SV=3                   "
"28","m.10254",141,2,2,0,0,0,0,0,0,0,0,-4.963,-1.6595,1,0.952135,0.93431,NA,NA
