"","Protein","Len","S0","S0.1","S1","S1.1","S1.2","S1.3","LogFoldChange","Zstatistic","fdr","FDRup","FDRdown","UniprotID","DEFLINE"
"1","m.1",362,0,0,1,0,1,0,-4.719,-0.6989,1,0.946478,0.844442,"P21369","Pyrazinamidase/nicotinamidase OS=Escherichia coli (strain K12) GN=pncA PE=3 SV=1                    "
"2","m.1000",214,29,30,20,20,20,23,-4.6,-1.5404,0.771704,0.950513,0.408106,"Q24799","Myophilin OS=Echinococcus granulosus PE=2 SV=1                       "
"3","m.10009",206,3,3,3,5,3,4,1.57,0.2608,0.850717,0.525707,0.909166,"Q5P203","Putative regulator of ribonuclease activity OS=Aromatoleum aromaticum (strain EbN1) GN=AZOSEA25360 PE=3 SV=1                "
"4","m.10015",205,5,6,4,4,5,6,-8.185,-1.804,0.543999,0.937043,0.212734,"B4JT39","Mesencephalic astrocyte-derived neurotrophic factor homolog OS=Drosophila grimshawi GN=Manf PE=3 SV=1                  "
"5","m.1002",498,0,1,0,1,0,0,-5.202,-0.7797,0.999172,0.952313,0.826048,"3270652","Predicted protein OS=Nematostella vectensis GN=v1g240580 PE=4 SV=1                     "
"6","m.10038",212,3,4,0,0,0,0,-3.116,-0.505,1,0.924876,0.875303,"P86854","Perlucin-like protein OS=Mytilus galloprovincialis PE=1 SV=1                      "
"7","m.1005",498,12,13,9,9,8,10,2.209,0.4039,0.720764,0.393417,0.907355,"Q13310","Polyadenylate-binding protein 4 OS=Homo sapiens GN=PABPC4 PE=1 SV=1                    "
"8","m.10055",770,0,1,0,0,0,0,-12.337,-2.4401,0.063541,0.912183,0.011623,"Q91437","CAD protein OS=Squalus acanthias GN=CAD PE=2 SV=1                     "
"9","m.10061",510,4,2,3,2,1,6,4.249,0.705,0.392422,0.161595,0.901773,"Q64459","Cytochrome P450 3A11 OS=Mus musculus GN=Cyp3a11 PE=1 SV=1                    "
"10","m.1007",159,2,1,0,0,0,0,-4.586,-0.7146,1,0.947731,0.841166,"P20965","Polyadenylate-binding protein 1-A OS=Xenopus laevis GN=pabpc1-a PE=1 SV=3                    "
"11","m.10080",526,17,14,15,15,15,15,-2.889,-0.9749,0.985559,0.960728,0.763349,"Q14247","Src substrate cortactin OS=Homo sapiens GN=CTTN PE=1 SV=2                    "
"12","m.10093",673,1,1,2,1,0,1,-7.234,-1.1893,0.942173,0.961792,0.65848,"B0FYY4","Integrin beta-1 OS=Ovis aries GN=ITGB1 PE=2 SV=1                     "
"13","m.10110",697,0,1,0,0,0,0,-1.329,-0.1679,0.999999,0.835299,0.901607,"O11780","Transforming growth factor-beta-induced protein ig-h3 OS=Sus scrofa GN=TGFBI PE=1 SV=1                  "
"14","m.10111",222,0,2,1,2,1,1,-4.458,-0.7319,0.999882,0.949043,0.837394,"3660641","Uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_85349 PE=4 SV=1                     "
"15","m.1013",969,1,3,1,0,0,0,-8.232,-1.0343,0.976823,0.961814,0.738335,"A7RU46","Nck-associated protein 1 homolog OS=Nematostella vectensis GN=napA PE=3 SV=1                   "
"16","m.10132",182,1,2,2,2,2,3,-4.136,-0.5187,1,0.926863,0.873616,"Q6NZW8","ADP-ribosylation factor-like protein 8B-A OS=Danio rerio GN=arl8ba PE=2 SV=1                   "
"17","m.10135",467,4,4,2,2,2,3,-6.428,-0.9217,0.991416,0.959187,0.783281,"Q9YI37","Succinyl-CoA ligase [ADP-forming] subunit beta mitochondrial (Fragment) OS=Columba livia GN=SUCLA2 PE=1 SV=1                           "
"18","m.10138",474,2,1,1,1,2,2,-5.831,-0.8901,0.994064,0.958011,0.794066,"O77775","Neutrophil cytosol factor 2 OS=Bos taurus GN=NCF2 PE=2 SV=1                   "
"19","m.10139",271,0,1,0,0,0,0,-6.466,-0.9889,0.98371,0.961043,0.757721,"Q8R1W8","Interphotoreceptor matrix proteoglycan 1 OS=Mus musculus GN=Impg1 PE=1 SV=1                   "
"20","m.10146",361,2,1,1,0,1,1,-3.178,-0.5295,1,0.92837,0.87224,"O43639","Cytoplasmic protein NCK2 OS=Homo sapiens GN=NCK2 PE=1 SV=2                    "
"21","m.10183",616,1,0,0,1,1,0,-5.911,-0.9313,0.990488,0.959506,0.779851,"P60670","Nuclear protein localization protein 4 homolog OS=Mus musculus GN=Nploc4 PE=1 SV=3                 "
"22","m.10194",572,19,16,16,17,15,16,-0.03,-0.0086,0.991865,0.746927,0.907306,"P15178","Aspartate--tRNA ligase cytoplasmic OS=Rattus norvegicus GN=Dars PE=2 SV=1                           "
"23","m.10199",219,7,9,5,7,5,5,-9.06,-1.6658,0.671017,0.94425,0.310582,"Q05975","Ras-related protein Rab-2 OS=Lymnaea stagnalis GN=RAB2 PE=2 SV=1                    "
"24","m.10205",893,0,1,0,0,0,0,-6.326,-0.8108,0.998299,0.954174,0.81789,"O88664","Serine/threonine-protein kinase TAO1 OS=Rattus norvegicus GN=Taok1 PE=1 SV=1                    "
"25","m.10239",279,1,2,0,0,0,1,-6.783,-1.06,0.972296,0.962086,0.726575,"P31483","Nucleolysin TIA-1 isoform p40 OS=Homo sapiens GN=TIA1 PE=1 SV=3                   "
"26","m.10254",141,2,2,0,0,0,0,-6.14,-0.9252,0.991086,0.959306,0.782039,NA,NA
"27","m.10260",232,0,1,0,0,0,0,-2.835,-0.3842,1,0.903085,0.887713,"3665646","Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_85506 PE=4 SV=1                    "
"28","m.10264",203,0,1,0,0,0,0,-5.81,-1.0223,0.978778,0.961647,0.74363,"Q2QXC6","Probable serine/threonine-protein kinase WNK9 OS=Oryza sativa subsp. japonica GN=WNK9 PE=2 SV=1                 "
"29","m.1027",157,1,2,2,1,3,3,-3.608,-0.6302,1,0.940241,0.857263,"3289105","Predicted protein OS=Nematostella vectensis GN=v1g225191 PE=4 SV=1                     "
"30","m.10289",705,0,0,0,0,1,0,-1.496,-0.2152,1,0.854347,0.899277,"P41541","General vesicular transport factor p115 OS=Bos taurus GN=USO1 PE=1 SV=1                  "
"31","m.10304",278,4,4,4,4,3,3,-1.044,-0.1805,1,0.840654,0.901019,"Q96RW7","Hemicentin-1 OS=Homo sapiens GN=HMCN1 PE=1 SV=2                      "
"32","m.10324",680,4,4,3,1,2,4,-3.811,-0.8108,0.998299,0.954174,0.81789,"Q04446","14-alpha-glucan-branching enzyme OS=Homo sapiens GN=GBE1 PE=1 SV=3                           "
"33","m.10327",1122,2,2,1,1,0,3,-5.322,-1.0996,0.964412,0.962281,0.707315,"Q1LZA7","LIM domain-containing protein 2 OS=Bos taurus GN=LIMD2 PE=2 SV=1                   "
"34","m.10342",512,1,0,0,1,0,0,-2.639,-0.5412,1,0.929947,0.870703,"P08183","Multidrug resistance protein 1 OS=Homo sapiens GN=ABCB1 PE=1 SV=3                   "
"35","m.10346",250,2,3,1,2,1,2,-3.518,-0.6412,1,0.941329,0.855366,"Q9NR16","Scavenger receptor cysteine-rich type 1 protein M160 OS=Homo sapiens GN=CD163L1 PE=1 SV=2                "
"36","m.1036",1192,1,1,0,1,1,1,-3.012,-0.5473,1,0.930746,0.869882,"O57683","Splicing factor 3B subunit 1 OS=Xenopus laevis GN=sf3b1 PE=2 SV=1                  "
"37","m.10360",636,1,2,1,2,1,0,-2.47,-0.4654,1,0.918629,0.879838,"A5D7E2","Transmembrane 9 superfamily member 4 OS=Bos taurus GN=TM9SF4 PE=2 SV=2                  "
"38","m.10378",725,2,3,0,1,1,1,-8.989,-1.5893,0.734681,0.948143,0.369626,"Q03516","Uncharacterized protein RSN1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RSN1 PE=1 SV=1               "
"39","m.1038",113,5,4,4,4,2,4,-6.532,-1.2553,0.921426,0.960691,0.617946,"P51397","Death-associated protein 1 OS=Homo sapiens GN=DAP PE=1 SV=3                    "
"40","m.10387",484,6,6,7,5,3,5,-0.924,-0.1852,1,0.842597,0.900794,"Q8IV20","Laccase domain-containing protein 1 OS=Homo sapiens GN=LACC1 PE=1 SV=1                   "
"41","m.104",1674,66,65,57,55,52,66,2.726,0.4855,0.634028,0.321353,0.90592,"Q68FD5","Clathrin heavy chain 1 OS=Mus musculus GN=Cltc PE=1 SV=3                   "
"42","m.1041",396,5,6,2,2,2,4,-5.306,-0.9575,0.987674,0.960284,0.770119,"Q0VFL3","KH domain-containing RNA-binding signal transduction-associated protein 2 OS=Xenopus tropicalis GN=khdrbs2 PE=2 SV=1                           "
"43","m.1042",331,3,4,2,3,2,2,-6.097,-1.4132,0.852241,0.955968,0.506902,"Q9PTS2","Uroporphyrinogen decarboxylase OS=Danio rerio GN=urod PE=2 SV=1                     "
"44","m.1044",836,0,1,0,0,0,0,1.439,0.1859,0.904113,0.593404,0.909509,"Q29M42","Coiled-coil and C2 domain-containing protein 1-like OS=Drosophila pseudoobscura pseudoobscura GN=GA18377 PE=3 SV=2                "
"45","m.10457",752,0,0,1,0,0,0,-8.047,-1.6328,0.699247,0.94595,0.335785,"Q91372","Probable ATP-dependent RNA helicase DDX4 OS=Xenopus laevis GN=ddx4 PE=2 SV=1                  "
"46","m.10463",220,0,1,0,1,0,0,-2.844,-0.3823,1,0.902671,0.887877,"Q32NG4","Parkinson disease 7 domain-containing protein 1 OS=Xenopus laevis GN=pddc1 PE=2 SV=1                 "
"47","m.10468",320,8,10,8,6,4,9,-3.561,-0.7553,0.999614,0.950708,0.832014,NA,NA
"48","m.10469",238,0,0,1,0,1,1,-6.168,-1.0587,0.972538,0.962075,0.727183,"P61291","Proteasome activator complex subunit 3 OS=Sus scrofa GN=PSME3 PE=2 SV=1                  "
"49","m.10472",547,5,8,2,2,3,4,-9.082,-1.1093,0.962306,0.962289,0.702384,"Q5D1D6","Interferon-induced guanylate-binding protein 1 OS=Chlorocebus aethiops GN=GBP1 PE=2 SV=1                   "
"50","m.10484",222,1,1,1,1,0,0,-5.083,-0.8262,0.99772,0.95502,0.813611,"Q68EY7","Coiled-coil domain-containing protein 124-A OS=Xenopus laevis GN=ccdc124-a PE=2 SV=1                   "
"51","m.10496",298,9,12,7,5,7,11,-5.862,-0.9167,0.991876,0.959014,0.785039,"Q5R5D5","Alcohol dehydrogenase [NADP(+)] OS=Pongo abelii GN=AKR1A1 PE=2 SV=1                    "
"52","m.10499",214,2,4,0,0,2,0,-5.411,-0.5799,1,0.934772,0.865255,"Q13825","Methylglutaconyl-CoA hydratase mitochondrial OS=Homo sapiens GN=AUH PE=1 SV=1                           "
"53","m.10517",796,1,1,0,0,0,0,-7.848,-1.305,0.902906,0.959499,0.584968,"3271430","Predicted protein OS=Nematostella vectensis GN=v1g241035 PE=4 SV=1                     "
"54","m.1054",285,8,10,3,3,3,6,-7.86,-0.814,0.998186,0.954353,0.817014,"Q2Q1W2","E3 ubiquitin-protein ligase TRIM71 OS=Homo sapiens GN=TRIM71 PE=1 SV=1                   "
"55","m.10558",176,1,3,1,2,1,2,-7.802,-1.3046,0.903066,0.959509,0.585242,"3280410","Predicted protein OS=Nematostella vectensis GN=v1g246076 PE=4 SV=1                     "
"56","m.10560",427,9,11,9,8,6,9,-6.645,-1.0624,0.971852,0.962106,0.725447,"Q55G75","PH domain-containing protein DDB_G0267786 OS=Dictyostelium discoideum GN=DDB_G0267786 PE=4 SV=1                   "
"57","m.10567",295,1,1,0,0,0,0,-0.55,-0.0761,0.999997,0.789335,0.905264,"Q8K1T0","Transmembrane protease serine 3 OS=Mus musculus GN=Tmprss3 PE=1 SV=2                   "
"58","m.10575",652,1,2,1,1,1,2,-0.665,-0.1008,0.999997,0.802985,0.904382,"Q8K5C0","Grainyhead-like protein 2 homolog OS=Mus musculus GN=Grhl2 PE=2 SV=1                   "
"59","m.10586",414,0,2,0,0,0,0,-5.523,-0.7343,0.999861,0.94922,0.836857,"Q6IQ20","N-acyl-phosphatidylethanolamine-hydrolyzing phospholipase D OS=Homo sapiens GN=NAPEPLD PE=1 SV=2                    "
"60","m.1060",147,2,4,2,2,2,4,-3.262,-0.4399,1,0.914172,0.882506,"P62184","Calmodulin OS=Renilla reniformis PE=1 SV=2                       "
"61","m.10603",487,0,1,1,0,1,0,-6.931,-1.1721,0.946938,0.96198,0.668407,"O54991","Contactin-associated protein 1 OS=Mus musculus GN=Cntnap1 PE=2 SV=2                    "
"62","m.10605",698,4,6,1,1,1,2,-3.842,-0.3931,1,0.904991,0.886935,"P08478","Peptidyl-glycine alpha-amidating monooxygenase A OS=Xenopus laevis GN=pam-a PE=1 SV=3                   "
"63","m.10621",420,4,4,4,2,3,3,-3.301,-0.4684,1,0.91913,0.879512,"Q5EA61","Creatine kinase B-type OS=Bos taurus GN=CKB PE=2 SV=1                    "
"64","m.10669",322,0,1,0,0,0,0,-7.343,-0.8216,0.997906,0.954772,0.814906,"O15083","ERC protein 2 OS=Homo sapiens GN=ERC2 PE=1 SV=3                    "
"65","m.1069",424,3,4,4,3,1,1,-0.57,-0.1121,0.999997,0.808902,0.903954,"Q3T0K2","T-complex protein 1 subunit gamma OS=Bos taurus GN=CCT3 PE=1 SV=1                  "
"66","m.10693",451,1,4,1,2,0,1,-7.692,-1.1031,0.96366,0.962286,0.705545,"Q61555","Fibrillin-2 OS=Mus musculus GN=Fbn2 PE=1 SV=2                      "
