"Protein","PROTLEN","DEFLINE","PL30-C","PL12-1m","PL12-100b","PL30-100m","PL12-100m","PL30-10m","PL30-100b","PL30-1m","PL12-C","PL12-10m","UniprotID"
"m.1000",214,"Myophilin OS=Echinococcus granulosus PE=2 SV=1",7,13,14.5,12.5,19,20.5,8,14.5,14.5,9.5,"Q24799"
"m.10009",206,"Putative regulator of ribonuclease activity OS=Aromatoleum aromaticum (strain EbN1) GN=AZOSEA25360 PE=3 SV=1",4.5,4,3.5,6,5.5,2.5,4.5,0,4.5,3.5,"Q5P203"
"m.10015",205,"Mesencephalic astrocyte-derived neurotrophic factor homolog OS=Drosophila grimshawi GN=Manf PE=3 SV=1",1,4.5,3,0.5,1.5,1.5,3,0,2,0,"B4JT39"
"m.1005",498,"Polyadenylate-binding protein 4 OS=Homo sapiens GN=PABPC4 PE=1 SV=1",1,2.5,3.5,0.5,3,3.5,1,1,2,1,"Q13310"
"m.10055",770,"CAD protein OS=Squalus acanthias GN=CAD PE=2 SV=1",1.5,0,0.5,1,0,0,0.5,0,0,1,"Q91437"
"m.10080",526,"Src substrate cortactin OS=Homo sapiens GN=CTTN PE=1 SV=2",0.5,2,0.5,0.5,1.5,2,0.5,0,1,0.5,"Q14247"
"m.10093",673,"Integrin beta-1 OS=Ovis aries GN=ITGB1 PE=2 SV=1",0,0,1,1,1,1,0,0,1,1,"B0FYY4"
"m.10111",222,"Uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_85349 PE=4 SV=1",0.5,0.5,0.5,0,1,0.5,0,1,0,0,"3660641"
"m.10135",467,"Succinyl-CoA ligase [ADP-forming] subunit beta, mitochondrial (Fragment) OS=Columba livia GN=SUCLA2 PE=1 SV=1",0,0,2,0.5,1.5,0,0,0,0.5,0,"Q9YI37"
"m.10138",474,"Neutrophil cytosol factor 2 OS=Bos taurus GN=NCF2 PE=2 SV=1",0,0,0.5,0,0.5,0.5,0,0,0.5,0,"O77775"
"m.10139",271,"Interphotoreceptor matrix proteoglycan 1 OS=Mus musculus GN=Impg1 PE=1 SV=1",1,1,0,0,0,0,1.5,0,1,0,"Q8R1W8"
"m.10194",572,"Aspartate--tRNA ligase, cytoplasmic OS=Rattus norvegicus GN=Dars PE=2 SV=1",3.5,26.5,15,0.5,13,2.5,6.5,0,8.5,0.5,"P15178"
"m.10199",219,"Ras-related protein Rab-2 OS=Lymnaea stagnalis GN=RAB2 PE=2 SV=1",4,8.5,4,1,2,1.5,7,0,7,0.5,"Q05975"
"m.10254",141,"m.10254",0.5,0,2,0,1.5,0,0,0,0,0,NA
"m.10304",278,"Hemicentin-1 OS=Homo sapiens GN=HMCN1 PE=1 SV=2",1,1.5,0.5,0,0,0,2,0,0.5,0,"Q96RW7"
"m.10324",680,"1,4-alpha-glucan-branching enzyme OS=Homo sapiens GN=GBE1 PE=1 SV=3",0,0.5,1,0,0.5,0,0.5,0,0.5,0.5,"Q04446"
"m.10327",1122,"LIM domain-containing protein 2 OS=Bos taurus GN=LIMD2 PE=2 SV=1",0,1,0,1.5,1,0.5,0,0,0.5,0,"Q1LZA7"
"m.10346",250,"Scavenger receptor cysteine-rich type 1 protein M160 OS=Homo sapiens GN=CD163L1 PE=1 SV=2",0,0.5,2,0.5,0,0,0,0,1,0,"Q9NR16"
"m.1036",1192,"Splicing factor 3B subunit 1 OS=Xenopus laevis GN=sf3b1 PE=2 SV=1",0,1.5,0,0,0,0,0,0.5,1.5,0,"O57683"
"m.10365",413,"Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g140878 PE=4 SV=1",0,0.5,0,0,1,0,0,0,0,0,"3285278"
"m.10373",1031,"Partitioning defective 3 homolog OS=Mus musculus GN=Pard3 PE=1 SV=2",0.5,0,0.5,0,0,1,0,0,1,0,"Q99NH2"
"m.10378",725,"Uncharacterized protein RSN1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RSN1 PE=1 SV=1",0,1.5,2,1,1.5,1,0.5,1,2,1,"Q03516"
"m.1038",113,"Death-associated protein 1 OS=Homo sapiens GN=DAP PE=1 SV=3",1.5,5,4,1,2,3.5,3,0.5,4.5,0.5,"P51397"
"m.10387",484,"Laccase domain-containing protein 1 OS=Homo sapiens GN=LACC1 PE=1 SV=1",1.5,3.5,3.5,2,1,1.5,1,0.5,1.5,0.5,"Q8IV20"
"m.104",1674,"Clathrin heavy chain 1 OS=Mus musculus GN=Cltc PE=1 SV=3",1,26.5,8,0.5,0.5,2.5,1.5,4.5,23,1.5,"Q68FD5"
"m.1041",396,"KH domain-containing, RNA-binding, signal transduction-associated protein 2 OS=Xenopus tropicalis GN=khdrbs2 PE=2 SV=1",0,1.5,0,0,0.5,0,0,0,1.5,0,"Q0VFL3"
"m.1042",331,"Uroporphyrinogen decarboxylase OS=Danio rerio GN=urod PE=2 SV=1",0.5,0.5,0,0,1,0.5,0,0,0,0,"Q9PTS2"
"m.1044",836,"Coiled-coil and C2 domain-containing protein 1-like OS=Drosophila pseudoobscura pseudoobscura GN=GA18377 PE=3 SV=2",0.5,1,1,1,1,1.5,0.5,1.5,0.5,0,"Q29M42"
"m.10468",320,"m.10468",3.5,3,2.5,5,7,6,1,6,3,5,NA
"m.10472",547,"Interferon-induced guanylate-binding protein 1 OS=Chlorocebus aethiops GN=GBP1 PE=2 SV=1",2,13,5,0.5,0.5,0,4.5,0,10.5,0,"Q5D1D6"
"m.10496",298,"Alcohol dehydrogenase [NADP(+)] OS=Pongo abelii GN=AKR1A1 PE=2 SV=1",2.5,11,7,5.5,22,12.5,4,7,9,8,"Q5R5D5"
"m.1054",285,"E3 ubiquitin-protein ligase TRIM71 OS=Homo sapiens GN=TRIM71 PE=1 SV=1",3.5,10,12,5.5,17.5,8.5,3.5,6.5,9.5,4.5,"Q2Q1W2"
"m.10560",427,"PH domain-containing protein DDB_G0267786 OS=Dictyostelium discoideum GN=DDB_G0267786 PE=4 SV=1",5,4.5,7,5,7,7.5,7,2,6.5,5.5,"Q55G75"
"m.10575",652,"Grainyhead-like protein 2 homolog OS=Mus musculus GN=Grhl2 PE=2 SV=1",0,0,0,0.5,0.5,1.5,0,0.5,0,0.5,"Q8K5C0"
"m.1060",147,"Calmodulin OS=Renilla reniformis PE=1 SV=2",0.5,1,2,0,0.5,0,0.5,0,3,0.5,"P62184"
"m.10602",908,"Uncharacterized protein C10orf118 homolog (Fragment) OS=Pongo abelii PE=2 SV=2",1.5,0,0.5,0,0,0.5,0.5,0,0.5,0.5,"Q5R9B3"
"m.10603",487,"Contactin-associated protein 1 OS=Mus musculus GN=Cntnap1 PE=2 SV=2",1.5,0.5,1,0,0.5,0,0,0,0,0,"O54991"
"m.10605",698,"Peptidyl-glycine alpha-amidating monooxygenase A OS=Xenopus laevis GN=pam-a PE=1 SV=3",2,0.5,1,2,1.5,1.5,1,0,1,1,"P08478"
"m.10621",420,"Creatine kinase B-type OS=Bos taurus GN=CKB PE=2 SV=1",0.5,1.5,0,0,0,0,0.5,0,0.5,0,"Q5EA61"
"m.1069",424,"T-complex protein 1 subunit gamma OS=Bos taurus GN=CCT3 PE=1 SV=1",1.5,2,0,0,1,0,0,0.5,0.5,1.5,"Q3T0K2"
"m.10693",451,"Fibrillin-2 OS=Mus musculus GN=Fbn2 PE=1 SV=2",0.5,3,1.5,2,1,0,0.5,0,2,0,"Q61555"
"m.107",99,"m.107",8.5,13,13,12,32.5,38.5,9.5,49,7,9.5,NA
"m.10713",218,"Ras-related protein Rab-11A OS=Rattus norvegicus GN=Rab11a PE=1 SV=3",13,14,9,5.5,9,7.5,16,2.5,10,3,"P62494"
"m.10714",429,"Septin-8 OS=Xenopus tropicalis GN=sept8 PE=2 SV=1",1,1.5,1.5,0,0,0.5,0,0,4,0.5,"B1H120"
"m.10723",443,"GDP-fucose protein O-fucosyltransferase 2 OS=Mus musculus GN=Pofut2 PE=1 SV=1",4.5,2,2,0,1.5,2.5,1.5,0,1.5,0,"Q8VHI3"
"m.10726",1630,"Collagen alpha-2(I) chain OS=Rattus norvegicus GN=Col1a2 PE=1 SV=3",1.5,1.5,4,5,2,4.5,0,5.5,2.5,0.5,"P02466"
"m.1074",292,"Phytanoyl-CoA dioxygenase domain-containing protein 1 OS=Homo sapiens GN=PHYHD1 PE=1 SV=2",0,4.5,3,1,5,2.5,1.5,1,3,1.5,"Q5SRE7"
"m.10744",282,"Sorbitol dehydrogenase OS=Ovis aries GN=SORD PE=1 SV=1",1,0.5,3.5,0.5,2.5,2.5,0.5,0,3,0,"P07846"
"m.10756",2004,"Tyrosine-protein phosphatase non-receptor type 23 (Fragment) OS=Rattus norvegicus GN=Ptpn23 PE=1 SV=2",0,0,0,0,0.5,0,0,0,0.5,0,"O88902"
"m.10807",572,"Predicted protein OS=Nematostella vectensis GN=v1g197490 PE=4 SV=1",6.5,5.5,13,14.5,11.5,14,4,10.5,7,10,"3267080"
"m.10812",189,"Agrin OS=Gallus gallus GN=AGRN PE=1 SV=3",0.5,0.5,0.5,1.5,2,1,0.5,0,0,0,"P31696"
"m.10818",372,"Arylsulfatase I OS=Mus musculus GN=Arsi PE=2 SV=1",0,0.5,4,1,5.5,3,0,1.5,0,0,"Q32KI9"
"m.10852",208,"Maleylacetoacetate isomerase OS=Mus musculus GN=Gstz1 PE=1 SV=1",0.5,0.5,0.5,0,0.5,0,1,0,0.5,0,"Q9WVL0"
"m.10883",471,"Serine hydroxymethyltransferase, mitochondrial OS=Homo sapiens GN=SHMT2 PE=1 SV=3",8.5,15.5,8.5,2,9,3,6.5,1,9,3.5,"P34897"
"m.10886",397,"Phospholipase D3 OS=Xenopus laevis GN=pld3 PE=2 SV=1",0,0,0.5,1,1,2,0.5,0,0,1.5,"Q6PB03"
"m.1089",117,"ATP synthase-coupling factor 6, mitochondrial OS=Rattus norvegicus GN=Atp5j PE=1 SV=1",0.5,4,3.5,1,2.5,4.5,0,4,3,0,"P21571"
"m.10893",298,"Tropomyosin alpha-1 chain OS=Liza aurata PE=1 SV=1",6,1,17.5,12.5,17.5,13,5.5,13,7.5,10,"P84335"
"m.10901",228,"m.10901",0,0.5,0.5,0,0,0,0,0,0,0,NA
"m.10905",398,"26S proteasome non-ATPase regulatory subunit 11 OS=Xenopus tropicalis GN=psmd11 PE=3 SV=2",1,5.5,2.5,0,0.5,2.5,0,0,5,1.5,"F6XBL2"
"m.10909",251,"Dorsal-ventral patterning tolloid-like protein 1 OS=Danio rerio GN=tll1 PE=2 SV=1",0.5,0,0,0,0.5,0,0.5,0,0,0,"O57460"
